,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum
0,1,1,0,1,1,1,10,7,,4,1,11,0,0.14,0,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,1,1,0,1,1,1,10,7,,3,2,12,0,0.54,0,22,2,60.0,0.0,0.0,40.0,0.0,0.0,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
2,1,1,0,1,1,1,10,7,,10,3,13,1,0.16,1,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
3,1,1,0,1,1,1,10,7,,5,4,14,1,0.61,0,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
4,1,1,0,1,1,1,10,7,,7,5,15,1,0.21,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
5,1,1,0,1,1,1,10,7,,6,6,16,0,0.25,0,25,2,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
6,1,1,0,1,1,1,10,7,,1,7,17,0,0.34,0,30,2,35.0,15.0,25.0,10.0,5.0,10.0,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
7,1,1,0,1,1,1,10,7,,2,8,18,0,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
8,1,1,0,1,1,1,10,7,,8,9,19,1,0.28,0,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
9,1,1,0,1,1,1,10,7,,9,10,20,0,-0.36,0,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,21,Law,1.0,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
